summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
vlj-uVoFlp8PxH-iy8c_bKIMRlBcmPUHdFOcZSWNUvCvLio,Desiru,61,I,63,55,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
C2HHQK2f-QVXGlAU6qomMtRt1BrLmRePwi97GSTaL-azsCnC,SlPSTEA,21,I,131,108,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
qKq_-lZcgshQjQ9pp2KCPNEpDvNrpzwyR3MKzDPvDLX2-38,SGArkahus,14,I,262,215,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
XODfte_ar4fIDMMHnNDcnewFzbiMrW7Sz3Nj2L8S0mSeewM,AJ Bundy AJ,29,I,152,140,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
Bitqdtl2Eqe_VR5yF8HzGtDTiLfS6oHZ8SDr9w-t1Ltjke4x,aMAZlng Jungler,27,I,116,116,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
4-9FnD9CJkrgu0I2kwPmYmTHjOlThriApZisvGvvZMGgBMs,OC Killerxkiller,0,I,112,112,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
B0zG0TAHo3R23RhKn9xadt0UY66JeRJqrCSSTNQqP5MJH28,Tockimo,140,I,185,166,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
xbwktVygVYtuZcuXc8d1lCpU9O-X1tApclbu_Rf33yBVd9g,mark lemon,230,I,120,111,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
vVg2scA8znSADl0rr0JBGCgmSjeXeCyqP_gMxNXEybKWCXw,Modi Boo,17,I,296,278,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
3ab1vieKOE1AA4HPVLT463RTyg9mVNVMf85KFJDmzDWOQR-R,Uτθρεδ,84,I,330,325,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
wQm7C8W1V_n0k1xwHBTOG8IkXoFXj4NCHSRyQez7Rh9FtmgW,Jinοuga,91,I,200,100,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
w1ehJWYNB5hj0MXSHMCEHaM7qPHGOjEy50w368ObXnYnbLw,RULE Sapphire,83,I,197,192,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
nnPvKpZGNaDBKxqDILCOgEk80y5yzLYzrLqZ7caWrmoWjlJH,LongsWorld,9,I,115,92,TRUE,FALSE,FALSE,FALSE
,,,,,,,,,
F8f86LiCXjqCbHUCvu34TaU50w_e4nt7s-_sQiPRFQu5yY0,Aesenar,162,I,97,96,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,
dMlTJoi35y9CnoMi7rVlh3f_rEkFgdMVCn_TukdFj1M-Oow,LUNARY Dye,1,I,289,268,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
aYoxf495Us0LlCJH7PTwJKPVMhjGhlflKoB3QB0ba5AkORc,PAWEŁ PL,3,I,70,57,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
DvuYlWPf-7ZCslS7rGXP8kGW_Rre4LY26L1tnQ-fJfP9Crg,OJ And KUsh,39,I,227,222,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
0YUG6uwoXSJTni-C4ZEnRDU6oNVFRsxwe3kiJYK6aUhxvAI,JUNGLERJUNGLES,109,I,257,240,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
XWADE1p5V4MuNFUOfECTHK4F9JiXxOXyi8OUDdzDDV3cGsM,GROS BAC PRO,17,I,72,56,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
l49QooDSZ1fdkSJXP3T90JO92Jcck1RTOwxr_zFrgrBLqjwD,Xkąappi,19,I,57,49,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
r-ykqUyM8x77AAIqvKXFnm0dAoq6gyqa-sCvFuSHpMoKyBo,Luminous Binding,15,I,42,40,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
smzeskoweuoE6JXJEIQIB-0GvXd_xewGJebqrtw8-aAwaI4,Du Zi Gu Gu,192,I,111,96,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
1WI4q-Ul7-EtJD-a1m6a1NysHQyQejH8el5-E8Ne_6OrGQ1j,Syenia,0,I,84,67,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
YVexJelB7_R4eUovzYqza6-KTY2A8E2yUK3fSeQMugNcGPdY,MenQ94,249,I,61,52,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,
